numExamplesUsed	epoch	score	AUC	condition
4487139	0	0.035123	0.987647	trio_unstable_noregular
8974278	1	0.026865	0.988377	trio_unstable_noregular
13461417	2	0.025496	0.988764	trio_unstable_noregular
17948556	3	0.025496	0.988994	trio_unstable_noregular
22435695	4	0.025496	0.989125	trio_unstable_noregular
26922834	5	0.025496	0.989224	trio_unstable_noregular
31409973	6	0.025496	0.989306	trio_unstable_noregular
35897112	7	0.025496	0.989368	trio_unstable_noregular
44871390	9	0.025496	0.989392	trio_unstable_noregular
49358529	10	0.025496	0.989443	trio_unstable_noregular
53845668	11	0.025496	0.989476	trio_unstable_noregular
58332807	12	0.025496	0.989520	trio_unstable_noregular
62819946	13	0.025496	0.989551	trio_unstable_noregular
67307085	14	0.025496	0.989555	trio_unstable_noregular
71794224	15	0.025496	0.989558	trio_unstable_noregular
76281363	16	0.025496	0.989574	trio_unstable_noregular
80768502	17	0.025496	0.989598	trio_unstable_noregular
85255641	18	0.025496	0.989610	trio_unstable_noregular
89742780	19	0.025496	0.989625	trio_unstable_noregular
94229919	20	0.025496	0.989626	trio_unstable_noregular
98717058	21	0.025496	0.989647	trio_unstable_noregular
103204197	22	0.025496	0.989665	trio_unstable_noregular
116665614	25	0.025496	0.989676	trio_unstable_noregular
121152753	26	0.025496	0.989688	trio_unstable_noregular
125639892	27	0.025496	0.989705	trio_unstable_noregular
139101309	30	0.025496	0.989706	trio_unstable_noregular
143588448	31	0.025496	0.989707	trio_unstable_noregular
148075587	32	0.025496	0.989712	trio_unstable_noregular
152562726	33	0.025496	0.989714	trio_unstable_noregular
157049865	34	0.025496	0.989726	trio_unstable_noregular
161537004	35	0.025496	0.989727	trio_unstable_noregular
174998421	38	0.025496	0.989727	trio_unstable_noregular
179485560	39	0.025496	0.989731	trio_unstable_noregular
183972699	40	0.025496	0.989735	trio_unstable_noregular
188459838	41	0.025496	0.989736	trio_unstable_noregular
192946977	42	0.025496	0.989741	trio_unstable_noregular
201921255	44	0.025496	0.989748	trio_unstable_noregular
206408394	45	0.025496	0.989757	trio_unstable_noregular
210895533	46	0.025496	0.989760	trio_unstable_noregular
215382672	47	0.025496	0.989762	trio_unstable_noregular
219869811	48	0.025496	0.989767	trio_unstable_noregular
233331228	51	0.025496	0.989773	trio_unstable_noregular
237818367	52	0.025496	0.989776	trio_unstable_noregular
269228340	59	0.025496	0.989780	trio_unstable_noregular
273715479	60	0.025496	0.989781	trio_unstable_noregular
291664035	64	0.025496	0.989782	trio_unstable_noregular
296151174	65	0.025496	0.989786	trio_unstable_noregular
314099730	69	0.025496	0.989788	trio_unstable_noregular
318586869	70	0.025496	0.989791	trio_unstable_noregular
323074008	71	0.025496	0.989793	trio_unstable_noregular
327561147	72	0.025496	0.989795	trio_unstable_noregular
336535425	74	0.025496	0.989799	trio_unstable_noregular
341022564	75	0.025496	0.989804	trio_unstable_noregular
345509703	76	0.025496	0.989806	trio_unstable_noregular
349996842	77	0.025496	0.989809	trio_unstable_noregular
354483981	78	0.025496	0.989811	trio_unstable_noregular
358971120	79	0.025496	0.989816	trio_unstable_noregular
367945398	81	0.025496	0.989820	trio_unstable_noregular
372432537	82	0.025496	0.989822	trio_unstable_noregular
376919676	83	0.025496	0.989827	trio_unstable_noregular
381406815	84	0.025496	0.989827	trio_unstable_noregular
385893954	85	0.025496	0.989831	trio_unstable_noregular
390381093	86	0.025496	0.989835	trio_unstable_noregular
